sep=	
Event number	Timestamp	Severity	Object name	Object ID	Event ID	Event name	Description	Remedy	Readable	Raw
10488	2000-01-01 00:00:01	Info	BOOT	63	0	VERSION	Boot starting - product firmware version	Information only		44 45 4d 4f 2d 76 31 2e 30 2e 30 2d 61 31 62 32 63 33 64 34 65 35
10489	2000-01-01 00:00:01	Info	BOOT	63	2	RESET_FLAG	Boot flags	Information only		03
10490	2000-01-01 00:00:01	Info	OSPERF	110	1	TRACE	Task trace	Information only		45 6d 70 74 79 20 74 72 61 63 65 00
10491	2000-01-01 00:00:05	Info	BATTERY	10	25	BOOT_VOLTAGE	Battery voltage at boot	Information only		00 00 00 00
10492	2000-01-01 00:00:06	Info	SENSOR	128	3	SENSOR_TYPE_CHANGED	Discovered connected sensor head type changed	Information only		01
10493	2000-01-01 00:00:06	Info	SENSOR	128	8	SENSOR_VERSION	Attached sensor head firmware version	Information only		45 53 49 4f 53 2d 76 31 2e 32 39 2e 30 2e 31 31 32 2d 6d 61 73 74 65 72 2d 62 36 63 38 64 32 33 34 66 2d 32 30 32 33 2d 30
10494	2000-01-01 00:00:06	Info	SENSOR	128	9	CONFIGURED_SENSOR_VERSION	Product firmware sensor head firmware version	Information only		45 53 49 4f 53 2d 76 31 2e 32 39 2e 30 2e 31 31 32 2d 6d 61 73 74 65 72 2d 62 36 63 38 64 32 33 34 66 2d 32 30 32 33 2d 30
10495	2000-01-01 00:00:06	Info	SENSOR	128	25	WCI_DIAG_STATUS_CHANGED	Sensor head device status changed	Information only		00 00 20 10
10496	2000-01-01 00:00:06	Info	UAPMO	1	6	DIAG_STATUS_CHANGED	Device status changed	Information only		80 00 00 00 00 00 00 41 00 00 20 51
10497	2000-01-01 00:00:00	Info	DEVICE_RESET	222	12					
10498	2000-01-01 00:00:07	Info	RADIO_APP	144	8	RADIO_VARIANT	Radio variant used in this product	Information only		01
10499	2000-01-01 00:00:01	Warning	DEVICE_STATUS_SET	202	56	RTC_NOT_VALID	HART cmd48 bit: REAL_TIME_CLOCK_NOT_VALID			
